CALCULO IMPUESTO SOBRE LA RENTA,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS,152951.00,21176.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
OTROS INGRESOS, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS,152951.00,21176.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
DEDUCCIONES, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS GRAV,152951.00,21176.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ISR,0.02,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,*Los % están sujetos a cambios en años posteriores
ISR CAUSADO,3059.00,212.00,1958.00,1796.00,6836.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES DE ISR,1375.00,39.70,191.25,247.50,307.50, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
ISR A CARGO,1684.00,172.00,1767.00,1549.00,6529.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,,,-1767.00,-299.00,,,,,,,,,,
PAGO,1684.00,172.00, $-   ,1250.00,6529.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,25.00,,,,,,,,,,,,,
Pago actualizado,1709.00,172.00, $-   ,1250.00,6529.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
CALCULO IMPUESTO AL VALOR AGREGADO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,
INGRESOS COBRADOS 16%,152951.00,21176.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
IVA por devoluciones  descuentos y bonificaciones en gastos, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
TOTAL DE INGRESOS,152951.00,21176.00,97903.45,89800.00,273440.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,
IVA TRASLADADO COBRADO,24472.16,3388.16,15664.55,14368.00,43750.40, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
INGRESOS PAGADOS 0%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS EXCENTOS, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Otros ingresos por NC, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
INGRESOS PAGADOS 16%, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
TASA ,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,*Los % están sujetos a cambios en años posteriores
IVA ACREDITABLE PAGADO, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
IVA ACREDITABLE/TRASLADADO,24472.16,3388.16,15664.55,14368.00,43750.40, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
RETENCIONES,11733.37,338.77,1632.01,2112.01,2624.01, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
IVA A PAGAR O A FAVOR,12739.00,3049.00,14033.00,12256.00,41126.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Aplicación de saldos a favor,0.00,,,,,,,,,,,,,
PAGO,12739.00,3049.00,14033.00,12256.00,41126.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
Actualizaciones y recargos,131.00,,,,,,,,,,,,,
Pago actualizado,12870.00,3049.00,14033.00,12256.00,41126.00, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PAGO ISR + IVA,14579.00,172.00,14033.00,,47655.00,, $-   , $-   , $-   , $-   , $-   , $-   ,,
´+ RETENCIONES,13108.37,378.47,1823.26,2359.51,2931.51, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
,,,,,,,,,,,,,,
PAGO ISR + IVA,27687.37,550.47,15856.26,2359.51,50586.51, $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,
